date,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,wind_speed_10m,surface_pressure
2025-06-19 15:00:00+00:00,22.95,93.0,21.756746,0.0,2.1897945,1014.6288
2025-06-19 16:00:00+00:00,22.75,93.0,21.55854,0.0,1.835647,1014.6279
2025-06-19 17:00:00+00:00,22.4,94.0,21.386126,0.0,2.16,1014.52673
2025-06-19 18:00:00+00:00,22.2,96.0,21.531246,0.0,2.3051248,1014.4262
2025-06-19 19:00:00+00:00,21.9,97.0,21.401815,0.0,2.1897945,1014.82446
2025-06-19 20:00:00+00:00,21.5,99.0,21.33591,0.0,3.563818,1014.9228
2025-06-19 21:00:00+00:00,22.5,98.0,22.167864,0.0,1.4399999,1015.2263
2025-06-19 22:00:00+00:00,23.7,93.0,22.500025,0.0,1.08,1015.33093
2025-06-19 23:00:00+00:00,25.1,87.0,22.782717,0.0,2.8116899,1014.8369
2025-06-20 00:00:00+00:00,26.25,82.0,22.931805,0.0,1.5273507,1014.6416
2025-06-20 01:00:00+00:00,27.9,76.0,23.27717,0.0,3.563818,1014.34827
2025-06-20 02:00:00+00:00,29.2,68.0,22.686901,0.0,4.452954,1013.754
2025-06-20 03:00:00+00:00,29.95,64.0,22.400448,0.0,3.8773184,1013.7569
2025-06-20 04:00:00+00:00,30.75,62.0,22.632587,0.0,5.00128,1013.0606
2025-06-20 05:00:00+00:00,31.1,60.0,22.4216,0.0,5.495161,1012.862
2025-06-20 06:00:00+00:00,30.75,62.0,22.632587,0.0,6.1305785,1012.7609
2025-06-20 07:00:00+00:00,28.95,69.0,22.689146,0.0,5.8048253,1012.7543
2025-06-20 08:00:00+00:00,27.9,71.0,22.155128,0.0,5.154415,1012.8499
2025-06-20 09:00:00+00:00,26.9,73.0,21.65059,0.0,4.452954,1013.1459
2025-06-20 10:00:00+00:00,25.95,76.0,21.392918,0.0,3.9763298,1013.7417
2025-06-20 11:00:00+00:00,25.15,79.0,21.249537,0.0,3.9763298,1014.13806
2025-06-20 12:00:00+00:00,24.4,82.0,21.12696,0.0,5.771239,1014.5347
2025-06-20 13:00:00+00:00,23.8,83.0,20.738283,0.0,5.0911684,1015.0316
2025-06-20 14:00:00+00:00,23.35,85.0,20.684584,0.0,4.68,1014.9301
2025-06-20 15:00:00+00:00,22.85,88.0,20.756811,0.0,4.6938252,1014.22906
2025-06-20 16:00:00+00:00,22.45,90.0,20.727575,0.0,3.9763298,1013.52826
2025-06-20 17:00:00+00:00,22.0,92.0,20.639648,0.0,3.7585104,1013.2267
2025-06-20 18:00:00+00:00,22.05,91.0,20.511797,0.0,4.0249224,1013.4268
2025-06-20 19:00:00+00:00,21.8,92.0,20.44169,0.0,4.1046314,1013.326
2025-06-20 20:00:00+00:00,22.0,92.0,20.639648,0.0,4.802999,1013.0269
2025-06-20 21:00:00+00:00,22.9,89.0,20.989786,0.0,5.0911684,1013.2302
2025-06-20 22:00:00+00:00,24.15,83.0,21.080294,0.0,6.2145634,1013.1354
2025-06-20 23:00:00+00:00,25.35,78.0,21.235893,0.0,7.342588,1012.84015
2025-06-21 00:00:00+00:00,27.6,72.0,22.097046,0.0,4.452954,1012.6492
2025-06-21 01:00:00+00:00,29.05,68.0,22.543987,0.0,5.315336,1012.355
2025-06-21 02:00:00+00:00,29.6,68.0,23.067978,0.0,6.763786,1011.658
2025-06-21 03:00:00+00:00,30.5,62.0,22.397184,0.0,7.42159,1010.86206
2025-06-21 04:00:00+00:00,30.85,60.0,22.18717,0.0,8.12197,1010.1644
2025-06-21 05:00:00+00:00,30.5,61.0,22.129995,0.0,8.473393,1009.76337
2025-06-21 06:00:00+00:00,29.55,65.0,22.276789,0.0,8.350138,1009.46014
2025-06-21 07:00:00+00:00,28.7,69.0,22.450518,0.0,7.5942073,1009.25726
2025-06-21 08:00:00+00:00,27.5,74.0,22.451147,0.0,7.6367526,1008.8533
2025-06-21 09:00:00+00:00,26.1,78.0,21.963045,0.0,8.64,1008.94775
2025-06-21 10:00:00+00:00,25.15,80.0,21.454807,0.0,8.28,1009.34357
2025-06-21 11:00:00+00:00,24.65,82.0,21.370876,0.0,9.028754,1009.54144
2025-06-21 12:00:00+00:00,24.4,82.0,21.12696,0.0,9.0,1010.2397
2025-06-21 13:00:00+00:00,24.2,82.0,20.931828,0.0,9.726665,1010.1388
2025-06-21 14:00:00+00:00,23.95,82.0,20.687902,0.0,9.826088,1009.5386
2025-06-21 15:00:00+00:00,23.65,81.0,20.196543,0.0,9.885262,1008.6386
2025-06-21 16:00:00+00:00,23.5,81.0,20.050404,0.0,9.885262,1008.0387
2025-06-21 17:00:00+00:00,23.4,82.0,20.151243,0.0,9.9571085,1008.0381
2025-06-21 18:00:00+00:00,23.35,84.0,20.492573,0.0,9.6932955,1007.8383
2025-06-21 19:00:00+00:00,23.3,84.0,20.443636,0.0,10.239453,1007.6382
2025-06-21 20:00:00+00:00,23.4,82.0,20.151243,0.0,10.308831,1007.73846
2025-06-21 21:00:00+00:00,24.45,76.0,19.943174,0.0,10.931203,1007.34296
2025-06-21 22:00:00+00:00,25.55,71.0,19.903315,0.0,11.165805,1007.0478
2025-06-21 23:00:00+00:00,26.9,68.0,20.495188,0.0,9.904906,1007.0528
2025-06-22 00:00:00+00:00,29.15,64.0,21.644018,0.0,6.6185193,1006.76166
2025-06-22 01:00:00+00:00,30.85,60.0,22.18717,0.0,7.072878,1006.46857
2025-06-22 02:00:00+00:00,31.85,59.0,22.847128,0.0,7.771331,1006.0725
2025-06-22 03:00:00+00:00,32.3,57.0,22.698368,0.0,8.209263,1005.575
2025-06-22 04:00:00+00:00,32.6,58.0,23.265425,0.0,8.350138,1004.77686
2025-06-22 05:00:00+00:00,32.35,59.0,23.31488,0.0,9.3876505,1004.2765
2025-06-22 06:00:00+00:00,31.9,60.0,23.171677,0.0,8.350138,1004.2749
2025-06-22 07:00:00+00:00,31.0,63.0,23.132345,0.0,8.669949,1004.1715
2025-06-22 08:00:00+00:00,29.8,67.0,23.01346,0.0,8.759178,1004.267
2025-06-22 09:00:00+00:00,28.3,72.0,22.768827,0.0,7.342588,1004.7608
2025-06-22 10:00:00+00:00,26.75,78.0,22.593191,0.0,8.557102,1005.75397
2025-06-22 11:00:00+00:00,25.9,81.0,22.38841,0.0,10.483357,1006.2499
2025-06-22 12:00:00+00:00,25.5,82.0,22.20015,0.0,10.931203,1006.548
2025-06-22 13:00:00+00:00,25.3,83.0,22.203964,0.0,10.931203,1007.14667
2025-06-22 14:00:00+00:00,25.15,83.0,22.057405,0.0,10.483357,1007.0462
2025-06-22 15:00:00+00:00,25.0,85.0,22.301626,0.0,10.483357,1006.64594
2025-06-22 16:00:00+00:00,24.8,86.0,22.297726,0.0,10.587917,1006.5455
2025-06-22 17:00:00+00:00,24.75,85.0,22.056633,0.0,10.137692,1006.64496
2025-06-22 18:00:00+00:00,24.85,85.0,22.15463,0.0,9.904906,1006.24585
2025-06-22 19:00:00+00:00,24.7,85.0,22.007635,0.0,9.9571085,1006.7446
2025-06-22 20:00:00+00:00,24.7,83.0,21.617716,0.0,9.605998,1007.2441
2025-06-22 21:00:00+00:00,25.4,82.0,22.102589,0.0,9.0,1007.4466
2025-06-22 22:00:00+00:00,26.45,79.0,22.51191,0.0,6.924738,1007.85034
2025-06-22 23:00:00+00:00,27.7,76.0,23.083939,0.0,6.849467,1008.15466
2025-06-23 00:00:00+00:00,28.35,74.0,23.269672,0.0,7.9932976,1007.9574
2025-06-23 01:00:00+00:00,29.5,71.0,23.687809,0.0,7.9526596,1008.26154
2025-06-23 02:00:00+00:00,31.05,67.0,24.201914,0.0,8.311245,1008.2672
2025-06-23 03:00:00+00:00,31.95,64.0,24.290972,0.0,9.007196,1007.6711
2025-06-23 04:00:00+00:00,32.2,64.0,24.527237,0.0,9.028754,1007.1726
2025-06-23 05:00:00+00:00,31.85,65.0,24.4552,0.0,7.6367526,1007.2712
2025-06-23 06:00:00+00:00,31.35,65.0,23.981718,0.0,6.151683,1007.8686
2025-06-23 07:00:00+00:00,30.0,72.0,24.400019,0.1,3.4152596,1008.0633
2025-06-23 08:00:00+00:00,29.1,75.0,24.21545,0.0,5.4119864,1008.35986
2025-06-23 09:00:00+00:00,26.05,83.0,22.936733,0.0,2.4149535,1009.0473
2025-06-23 10:00:00+00:00,25.85,85.0,23.134573,0.0,3.219938,1008.9468
2025-06-23 11:00:00+00:00,25.6,89.0,23.650946,0.0,4.6938252,1009.54517
2025-06-23 12:00:00+00:00,25.15,90.0,23.392479,0.0,4.3349743,1010.44226
2025-06-23 13:00:00+00:00,24.9,92.0,23.50979,0.0,5.04,1011.14056
2025-06-23 14:00:00+00:00,24.7,92.0,23.311865,0.0,4.68,1010.9398
2025-06-23 15:00:00+00:00,24.0,95.0,23.148827,0.0,3.0758414,1010.8374
2025-06-23 16:00:00+00:00,23.7,96.0,23.023668,0.0,3.0758414,1011.0359
2025-06-23 17:00:00+00:00,23.7,96.0,23.023668,0.0,3.8773184,1011.23566
2025-06-23 18:00:00+00:00,23.3,96.0,22.62569,0.0,3.7064266,1011.3339
2025-06-23 19:00:00+00:00,23.15,96.0,22.476446,0.0,3.4152596,1011.83276
2025-06-23 20:00:00+00:00,23.25,96.0,22.575945,0.0,4.0249224,1012.133
2025-06-23 21:00:00+00:00,23.8,97.0,23.294651,0.0,3.671294,1012.4346
2025-06-23 22:00:00+00:00,24.4,97.0,23.89238,0.0,3.9763298,1013.23627
2025-06-23 23:00:00+00:00,24.8,96.0,24.118082,0.0,2.5455842,1013.43756
2025-06-24 00:00:00+00:00,25.75,91.0,24.16869,0.0,3.9763298,1013.6408
2025-06-24 01:00:00+00:00,26.85,87.0,24.502506,0.0,4.0249224,1013.34564
2025-06-24 02:00:00+00:00,27.7,82.0,24.346199,0.0,3.8773184,1013.2489
2025-06-24 03:00:00+00:00,28.95,75.0,24.070784,0.0,5.0911684,1013.4534
2025-06-24 04:00:00+00:00,28.9,71.0,23.113098,0.0,4.802999,1013.3532
2025-06-24 05:00:00+00:00,28.65,72.0,23.104696,0.0,4.5536795,1013.2524
2025-06-24 06:00:00+00:00,29.1,71.0,23.304674,0.0,5.04,1012.85474
2025-06-24 07:00:00+00:00,28.2,75.0,23.347418,0.0,4.3349743,1012.85126
2025-06-24 08:00:00+00:00,27.4,79.0,23.4343,0.0,4.3349743,1013.0479
2025-06-24 09:00:00+00:00,27.05,82.0,23.712181,0.0,2.5959969,1012.8468
2025-06-24 10:00:00+00:00,26.3,86.0,23.769749,0.0,2.4149535,1013.3433
2025-06-24 11:00:00+00:00,25.7,89.0,23.7495,0.0,3.319036,1013.44104
2025-06-24 12:00:00+00:00,25.15,93.0,23.936972,0.0,3.563818,1013.9383
2025-06-24 13:00:00+00:00,24.8,95.0,23.943724,0.0,2.8116899,1014.03687
2025-06-24 14:00:00+00:00,24.35,97.0,23.842575,0.0,2.5455842,1014.035
2025-06-24 15:00:00+00:00,24.45,98.0,24.112972,0.1,3.6179552,1014.03534
2025-06-24 16:00:00+00:00,24.3,98.0,23.963346,0.0,3.319036,1013.33575
2025-06-24 17:00:00+00:00,23.95,99.0,23.782858,0.0,2.9024127,1013.2343
2025-06-24 18:00:00+00:00,24.15,98.0,23.813726,0.1,3.0758414,1013.33514
2025-06-24 19:00:00+00:00,23.85,99.0,23.682985,0.0,3.4152596,1013.3338
2025-06-24 20:00:00+00:00,23.65,99.0,23.483232,0.1,3.396233,1013.43304
2025-06-24 21:00:00+00:00,24.3,98.0,23.963346,0.0,3.2599385,1013.5355
2025-06-24 22:00:00+00:00,24.75,97.0,24.241055,0.0,2.16,1013.63696
2025-06-24 23:00:00+00:00,25.5,94.0,24.462357,0.0,1.835647,1013.54
2025-06-25 00:00:00+00:00,25.4,96.0,24.715029,2.2,3.2599385,1013.4397
2025-06-25 01:00:00+00:00,25.55,96.0,24.864262,0.4,2.968636,1013.54034
2025-06-25 02:00:00+00:00,27.15,92.0,25.736408,0.1,2.968636,1013.24677
2025-06-25 03:00:00+00:00,26.35,95.0,25.483805,0.5,3.563818,1012.7444
2025-06-25 04:00:00+00:00,27.5,91.0,25.898092,0.6,3.563818,1012.44916
2025-06-25 05:00:00+00:00,27.8,90.0,26.007689,1.1,3.6,1012.15045
2025-06-25 06:00:00+00:00,26.3,95.0,25.434122,2.4,3.096837,1011.84503
2025-06-25 07:00:00+00:00,26.8,93.0,25.572033,0.3,3.219938,1011.6472
2025-06-25 08:00:00+00:00,26.5,94.0,25.45463,0.6,3.096837,1011.54614
2025-06-25 09:00:00+00:00,26.3,94.0,25.256174,1.5,3.219938,1011.84503
2025-06-25 10:00:00+00:00,25.7,92.0,24.301502,0.0,3.6,1012.1425
2025-06-25 11:00:00+00:00,25.15,94.0,24.115053,0.0,4.0249224,1012.1404
2025-06-25 12:00:00+00:00,24.85,96.0,24.167831,0.0,3.0758414,1012.0392
2025-06-25 13:00:00+00:00,24.5,97.0,23.992004,0.0,3.2599385,1012.03784
2025-06-25 14:00:00+00:00,24.35,98.0,24.013226,0.0,3.2599385,1011.43787
2025-06-25 15:00:00+00:00,24.35,97.0,23.842575,0.0,3.096837,1011.13824
2025-06-25 16:00:00+00:00,24.2,97.0,23.693138,0.4,3.8939953,1010.33856
2025-06-25 17:00:00+00:00,24.05,97.0,23.543703,0.0,4.1046314,1009.53894
2025-06-25 18:00:00+00:00,24.3,97.0,23.792759,0.0,4.6800003,1009.14056
2025-06-25 19:00:00+00:00,24.15,98.0,23.813726,0.1,5.2416787,1008.7404
2025-06-25 20:00:00+00:00,24.15,97.0,23.64333,0.5,5.771239,1008.241
2025-06-25 21:00:00+00:00,24.6,97.0,24.091625,0.3,5.8603754,1007.64325
2025-06-25 22:00:00+00:00,25.0,96.0,24.317068,0.0,5.154415,1007.94446
2025-06-25 23:00:00+00:00,25.75,92.0,24.350985,0.0,5.1165614,1007.4479
2025-06-26 00:00:00+00:00,26.9,90.0,25.119541,0.0,2.7416782,1007.752
2025-06-26 01:00:00+00:00,27.65,85.0,24.89828,0.0,2.5455842,1007.65485
2025-06-26 02:00:00+00:00,29.05,79.0,25.036118,0.0,3.0758414,1006.7613
2025-06-26 03:00:00+00:00,30.25,75.0,25.324453,0.0,4.379589,1006.2663
2025-06-26 04:00:00+00:00,30.35,74.0,25.195227,0.0,4.802999,1005.3679
2025-06-26 05:00:00+00:00,31.6,66.0,24.473286,0.0,6.12,1004.6731
2025-06-26 06:00:00+00:00,32.4,63.0,24.452919,0.0,5.8603754,1004.6762
2025-06-26 07:00:00+00:00,30.3,70.0,24.217272,0.0,6.0347,1004.9681
2025-06-26 08:00:00+00:00,29.15,73.0,23.81358,0.0,5.154415,1005.0636
2025-06-26 09:00:00+00:00,28.6,78.0,24.386435,0.0,5.634891,1004.46234
2025-06-26 10:00:00+00:00,26.7,89.0,24.735012,0.3,5.3517847,1004.85474
2025-06-26 11:00:00+00:00,25.75,93.0,24.53155,0.6,5.2416787,1005.05066
2025-06-26 12:00:00+00:00,25.6,93.0,24.382908,0.1,5.506941,1005.15015
2025-06-26 13:00:00+00:00,25.1,92.0,23.707726,0.8,5.5887027,1005.2479
2025-06-26 14:00:00+00:00,24.65,90.0,22.899002,0.0,5.991594,1004.8468
2025-06-26 15:00:00+00:00,24.1,91.0,22.537989,0.0,6.6087217,1005.14417
2025-06-26 16:00:00+00:00,23.9,89.0,21.975445,0.0,5.3999996,1004.9438
2025-06-26 17:00:00+00:00,23.5,91.0,21.944977,0.0,4.8965297,1004.7425
2025-06-26 18:00:00+00:00,23.6,93.0,22.400925,0.0,3.319036,1004.3433
2025-06-26 19:00:00+00:00,23.4,95.0,22.552637,0.0,3.396233,1004.5421
2025-06-26 20:00:00+00:00,23.15,96.0,22.476446,0.0,2.9024127,1004.74097
2025-06-26 21:00:00+00:00,23.7,98.0,23.364857,0.0,2.8116899,1004.7431
2025-06-26 22:00:00+00:00,24.35,98.0,24.013226,0.0,3.0547013,1005.14514
2025-06-26 23:00:00+00:00,26.05,88.0,23.906322,0.0,2.0364676,1004.95197
2025-06-27 00:00:00+00:00,27.85,81.0,24.287643,0.0,1.609969,1005.0588
2025-06-27 01:00:00+00:00,29.35,75.0,24.45655,0.0,1.8,1004.9646
